SubG,Name,n_Name,Vmag,E_Vmag,e_Vmag,R1,e_R1,E_R1,muV,e_muV,E_muV,PA,e_PA,Ell,e_Ell,VMag,E_VMag,e_VMag,R2,e_R2,E_R2,muEff
"Rest","KKR 3","N  ",17.2,0.3,0.3,0.36,0.04,0.04,23.8,0.2,0.2,0,1,0.05,0.01,-9.5,0.3,0.3,229,28,28,25.8
"Rest","GR 8","N  ",14.5,0.2,0.2,0.32,0.04,0.04,22.6,0.2,0.2,61,2,0.2,0.05,-12.2,0.2,0.2,203,28,28,22.7
"Rest","UGC 9128","N  ",14.4,0.3,0.3,0.64,0.07,0.07,22.6,0.2,0.2,46,2,0.4,0.05,-12.4,0.3,0.3,427,47,47,23.8
"Rest","UGC 8508","N  ",13.7,0.1,0.1,0.42,0.04,0.04,21.5,0.2,0.2,-60,2,0.45,0.05,-13.4,0.1,0.1,315,30,30,22.1
"Rest","IC 3104","N  ",12.8,,,2.01,,,23.3,,,45,2,0.52,0.02,-14.0,,,1327,,,24.4
"Rest","DDO 125","N  ",12.7,0.3,0.3,1.04,0.1,0.1,22.1,0.2,0.2,-68,4,0.41,0.01,-14.4,0.3,0.3,781,77,77,23.1
"Rest","UGCA 86","N  ",14.2,,,0.94,,,22.8,,,25,1,0.32,0.03,-13.2,,,811,,,24.5
"Rest","DDO 99","N  ",13.9,0.1,0.1,0.9,0.09,0.09,22.9,0.2,0.2,70,4,0.29,0.01,-13.2,0.2,0.2,679,81,81,24.2
"Rest","IC 4662","N  ",11.1,0.3,0.3,0.48,0.05,0.05,18.7,0.2,0.2,-69,4,0.27,0.01,-15.8,0.3,0.3,341,44,44,20.1
"Rest","DDO 190","N  ",12.8,0.1,0.1,0.64,0.06,0.06,21.4,0.2,0.2,82,5,0.1,0.02,-14.4,0.1,0.1,520,49,49,22.6
"Rest","KKH 86","N  ",17.1,0.3,0.3,0.28,0.03,0.03,23.2,0.2,0.2,-3,1,0.39,0.01,-10.0,0.3,0.3,210,27,27,24.7
