	 SubG 	                          Name 	          RA 	        DEC 	    Mass 	  VMag 	 e_VMag 	 E_VMag 	   R2 	 e_R2 	 E_R2 	 sigma* 	 e_sigma* 	 E_sigma* 	  Mdyn 	 Mdyn2 	 e_Mdyn2 	 E_Mdyn2 	      LV 	    e_LV 	    E_LV 	     ML 	    e_ML 	    E_ML 	   Mtot 	 e_Mtot 	 E_Mtot 	 SoloCrossmatch 	
	  ISO 	                         Cetus 	   00h26m11s 	 -11d02m40s 	     2.6 	 -11.2 	    0.2 	    0.2 	  703 	   31 	   31 	   17.0 	      2.0 	      2.0 	 120.0 	 118.0 	    28.0 	    28.0 	    2.58 	    0.48 	    0.48 	   91.0 	    28.0 	    28.0 	  236.0 	   56.0 	   56.0 	           True 	
	   MW 	                Coma Berenices 	   12h26m59s 	 +23d54m15s 	  0.0037 	  -4.1 	    0.5 	    0.5 	   77 	   10 	   10 	    4.6 	      0.8 	      0.8 	  0.94 	  0.95 	    0.35 	    0.35 	  0.0037 	  0.0017 	  0.0017 	  510.0 	   300.0 	   300.0 	   1.89 	    0.7 	    0.7 	          False 	
	   MW 	                         Draco 	 17h20m12.4s 	 +57d54m55s 	    0.29 	  -8.8 	    0.3 	    0.3 	  221 	   19 	   19 	    9.1 	      1.2 	      1.2 	  11.0 	  10.6 	     2.9 	     2.9 	   0.283 	   0.078 	   0.078 	   75.0 	    29.0 	    29.0 	   21.2 	    5.9 	    5.9 	           True 	
	   MW 	                        Fornax 	 02h39m59.3s 	 -34d26m57s 	    20.0 	 -13.4 	    0.3 	    0.3 	  710 	   77 	   77 	   11.7 	      0.9 	      0.9 	  56.0 	  56.0 	    11.0 	    11.0 	    19.6 	     5.4 	     5.4 	    5.8 	     1.9 	     1.9 	  113.0 	   21.0 	   21.0 	           True 	
	   MW 	                      Hercules 	   16h31m02s 	 +12d47m30s 	   0.037 	  -6.6 	    0.4 	    0.4 	  330 	   52 	   75 	    3.7 	      0.9 	      0.9 	   2.6 	   2.6 	     1.3 	     1.4 	   0.037 	   0.014 	   0.014 	  140.0 	    88.0 	    91.0 	    5.2 	    2.7 	    2.8 	          False 	
	  M31 	 LGS 3 (Local Group Suspect 3) 	   01h03m55s 	 +21d53m06s 	    0.96 	 -10.1 	    0.1 	    0.1 	  470 	   47 	   47 	    7.9 	      2.9 	      5.3 	  17.0 	  17.0 	    13.0 	    23.0 	   0.938 	   0.086 	   0.086 	   36.0 	    27.0 	    49.0 	   34.0 	   25.0 	   46.0 	           True 	
	  ISO 	                         Leo A 	 09h59m26.5s 	 +30d44m47s 	     6.0 	 -12.1 	    0.2 	    0.2 	  499 	      	      	    9.3 	      1.3 	      1.3 	  25.0 	  25.0 	     9.4 	     9.4 	     5.9 	     1.1 	     1.1 	    8.5 	     3.5 	     3.5 	   50.0 	   19.0 	   19.0 	           True 	
	   MW 	                         Leo I 	 10h08m28.1s 	 +12d18m23s 	     5.5 	 -12.0 	    0.3 	    0.3 	  251 	   27 	   27 	    9.2 	      1.4 	      1.4 	  12.0 	  12.3 	     4.0 	     4.0 	     5.4 	     1.5 	     1.5 	    4.6 	     1.9 	     1.9 	   24.6 	    8.0 	    8.0 	           True 	
	   MW 	                        Leo II 	 11h13m28.8s 	 +22d09m06s 	    0.74 	  -9.8 	    0.3 	    0.3 	  176 	   42 	   42 	    6.6 	      0.7 	      0.7 	   4.6 	   4.4 	     1.4 	     1.4 	    0.71 	     0.2 	     0.2 	   12.5 	     5.3 	     5.3 	    8.9 	    2.8 	    2.8 	           True 	
	   MW 	                        Leo IV 	   11h32m57s 	 -00d32m00s 	   0.019 	  -5.8 	    0.4 	    0.4 	  206 	   37 	   37 	    3.3 	      1.7 	      1.7 	   1.3 	   1.3 	     1.4 	     1.4 	  0.0179 	  0.0066 	  0.0066 	  150.0 	   160.0 	   160.0 	    2.6 	    2.7 	    2.7 	          False 	
