Name,OName,RAJ2000,Ref1,f_Ref1,SubG,SimbadName,MType,n_Name
"KKH 98","",356.3916666666666,"364", ,"Rest","LEDA 2807157","dIrr","N  "
"UKS 2323-326","UGCA 438",351.61458333333326,"354", ,"Rest","UKS 2323-32.6","dIrr","N  "
"KKR 3","KK 230",211.79374999999996,"365", ,"Rest","LEDA 166185","dIrr","N  "
"GR 8","UGC 8091,VV 558,DDO 155",194.6683333333333,"366", ,"Rest","UGC 8091","dIrr","N  "
"UGC 9128","DDO 187",213.98541666666662,"351", ,"Rest","UGC 9128","dIrr","N  "
"UGC 8508","",202.68499999999997,"367", ,"Rest","UGC 8508","dIrr","N  "
"IC 3104","ESO 020- G 004,UKS 1215-794",184.69166666666663,"368", ,"Rest","IC 3104","dIrr","N  "
"DDO 125","UGC 7577",186.92041666666665,"351", ,"Rest","DDO 125","dIrr","N  "
"UGCA 86","",59.951249999999995,"369", ,"Rest","UGCA 86","dIrr","N  "
"DDO 99","UGC 6817",177.7208333333333,"351", ,"Rest","DDO 99","dIrr","N  "
"IC 4662","ESO 102- G 014",266.78666666666663,"370", ,"Rest","IC 4662","dIrr","N  "
"DDO 190","UGC 9240",216.1808333333333,"351", ,"Rest","DDO 190","dIrr","N  "
"KKH 86","",208.6395833333333,"364", ,"Rest","LEDA 2807150","dIrr","N  "
