SubG,n_Name,Name,MType,RAJ2000,DEJ2000,D,u_D,HRV,f_HRV,D(MW),V(MW),D(LG),V(LG),S,Vmag,u_Vmag,R1,u_R1,muV,f_muV,PA,f_PA,Ell,f_Ell,VMag,f_VMag,Mass,Mdyn,[Fe/H],u_[Fe/H],SimbadName,(m-M),D(M31),E(B-V),E_(m-M),e_(m-M),e_[Fe/H],E_D,e_D,E_muV,e_muV,E_R1,e_R1,E_R2,e_R2,E_sigma*,e_sigma*,e_v_HI,E_Vmag,e_Vmag,E_VMag,e_VMag,e_vsini*,f_M_HI,f_sigma*,f_vsini*,l_sigma*,l_v_HI,M_HI,sigma*,u_(m-M),u_v_HI,V(M31),v_HI,vsini*,Com1,Com3,Com4,Com5,e_Ell,e_HRV,e_PA,e_sigHI,f_OName,f_Ref1,f_Ref2,f_Ref4,GLAT,GLON,l_sigHI,Meth,muEff,OName,R2,Ref1,Ref2,Ref3,Ref4,Ref5,sigHI,u_R2,u_sigHI
"MW  ","G  ","Ursa Minor","dSph",227.28541666666663,67.2225,76, ,-246.9, ,78,-85,370,-44, ,10.6,"  ",8.2, ,26.0,"  ",53,"  ",0.56, ,-8.8, ,0.29,9.5,-2.13, ,"Ursa Minor",19.4,758,0.032,0.1,0.1,0.01,3,3,0.5,0.5,1.2,1.2,27,27,1.2,1.2,,0.5,0.5,0.5,0.5,, , ,N,"  ","  ",,9.5,"  ",N,-31,,,"","","","See also Winnick (2003PhDT.........9W)",0.05,0.1,5,, , ,h, ,44.8,105.0, ,"MRS",25.2,"UGC 9749,DDO 199",181,"309","23,24","109","220,219,205","404",, , 
"MW  ","G  ","Sculptor","dSph",15.039166666666665,-33.70916666666666,86, ,111.4, ,86,79,379,97, ,8.6,"  ",11.3, ,23.5,"  ",99,"  ",0.32, ,-11.1, ,2.3,14.0,-1.68, ,"SCULPTOR GALAXY",19.67,765,0.018,0.14,0.14,0.01,6,6,0.5,0.5,1.6,1.6,45,45,1.4,1.4,,0.5,0.5,0.5,0.5,,e, ,N,"  ","  ",0.22,9.2,"  ",N,106,,,"The prototypical dSph","","Stellar velocity gradient of 5.5+/-0.5km/s/deg","See also Battaglia et al. (2008ApJ...681L..13B)",0.03,0.1,1,, , , , ,-83.2,287.5, ,"MRS",24.3,"",283,"310","25,26","109","221,222,223,205","410,404",, , 
"MW  ","G  ","Sextans (I)","dSph",153.2625,-1.614722222222222,86, ,224.2, ,89,72,450,6, ,10.4,"  ",27.8, ,27.1,"  ",56,"  ",0.35, ,-9.3, ,0.44,25.0,-1.93, ,"SEXTANS GALAXY",19.67,839,0.047,0.1,0.1,0.01,4,4,0.5,0.5,1.2,1.2,44,44,1.3,1.3,,0.5,0.5,0.5,0.5,, , ,N,"  ","  ",,7.9,"  ",N,-14,,,"","","","See also Battaglia et al. (2011, Cat. J/MNRAS/411/1013)",0.05,0.1,5,, , ,i, ,42.3,243.5, ,"MRS",28.0,"",695,"311","27,26","109","221,222,205","404",, , 
"MW  ","G  ","Ursa Major (I)","dSph",158.71999999999997,51.919999999999995,97, ,-55.3, ,102,-7,391,0, ,14.4,"  ",11.3, ,27.7,"  ",71,"  ",0.8, ,-5.5, ,0.014,11.0,-2.18, ,"UMA I GALAXY",19.93,777,0.02,0.1,0.1,0.04,4,4,0.5,0.5,1.7,1.7,50,50,1.0,1.0,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",,7.6,"  ",N,4,,,"","","","",0.04,1.4,3,, , , , ,54.4,159.4, ,"MRS",28.8,"",319,"312","28,8 ","105","207,205","403,404",, , 
"MW  ","G  ","Carina","dSph",100.40291666666666,-50.966111111111104,105, ,222.9, ,107,7,454,-53, ,11.0,"  ",8.2, ,25.5,"  ",65,"  ",0.33, ,-9.1, ,0.38,6.3,-1.72, ,"CARINA dSph",20.11,841,0.061,0.13,0.13,0.01,6,6,0.5,0.5,1.2,1.2,39,39,1.2,1.2,,0.5,0.5,0.5,0.5,, , ,N,"  ","  ",,6.6,"  ",N,-70,,,"","","Stellar velocity gradient of 2.5+/-0.8km/s/deg","",0.05,0.1,5,, , , , ,-22.2,260.1, ,"MRS (CaT)",26.0,"",250,"313","29,26","109","221,222,205","411",, , 
"MW  ","G  ","Hercules","dSph",247.7583333333333,12.791666666666664,132, ,45.2, ,126,145,444,141, ,14.0,"  ",8.6, ,27.2,"  ",102,"  ",0.68, ,-6.6, ,0.037,2.6,-2.41, ,"HERCULES DWARF GALAXY",20.6,826,0.063,0.2,0.2,0.04,12,12,0.6,0.6,1.8,1.1,75,52,0.9,0.9,,0.3,0.3,0.4,0.4,, , , ,"  ","  ",,3.7,"  ",N,133,,,"Tidally disrupting? Remnant? Cluster?","","","",0.08,1.1,4,, , , , ,36.9,28.7, ,"MRS",28.3,"",330,"302","30,31","105","224,205","403,404",, , 
"MW  ","G  ","Fornax","dSph",39.99708333333333,-34.44916666666666,147, ,55.3, ,149,-33,394,-30, ,7.4,"  ",16.6, ,23.3,"  ",41,"  ",0.3, ,-13.4, ,20.0,56.0,-0.99, ,"FORNAX DWARF SPHEROIDAL",20.84,772,0.021,0.18,0.18,0.01,12,12,0.3,0.3,1.2,1.2,77,77,0.9,0.9,,0.3,0.3,0.3,0.3,,f, ,N,"  ","  ",0.17,11.7,"  ",N,-24,,,"","","Stellar velocity gradient of 6.3+/-0.2km/s/deg","See also Battaglia et al. (2006, Cat. J/A+A/459/423)",0.01,0.1,1,, , , , ,-65.7,237.1, ,"MRS",24.0,"",710,"314","29,26","109","221,222,225,205","404",, , 
"MW  ","G  ","Leo IV","dSph",173.23749999999998,-0.5333333333333332,154, ,132.3, ,155,13,513,-54, ,15.1,"  ",4.6, ,27.5,"  ",121,"  ",0.49, ,-5.8, ,0.019,1.3,-2.54, ,"Leo IV",20.94,899,0.026,0.09,0.09,0.07,6,6,0.7,0.7,0.8,0.8,37,37,1.7,1.7,,0.4,0.4,0.4,0.4,, , , ,"  ","  ",,3.3,"  ",N,-78,,,"Binary w/Leo V?","","","HRS of a single star in Simon et al. (2010ApJ...716..446S)",0.11,1.4,9,, , , , ,57.4,264.4, ,"MRS",28.6,"",206,"302","32,8 ","110","207,205","403,404",, , 
"MW  ","G  ","Canes Venatici II","dSph",194.29166666666663,34.320833333333326,160, ,-128.9, ,161,-95,458,-113, ,16.1,"  ",1.6, ,26.1,"  ",177,"  ",0.52, ,-4.9, ,0.0079,0.91,-2.21, ,"CVn II dSph",21.02,837,0.01,0.06,0.06,0.05,4,4,0.7,0.7,0.3,0.3,14,14,1.0,1.0,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",,4.6,"  ",N,-122,,,"","","","",0.11,1.2,9,, , , , ,82.7,113.6, ,"MRS",27.2,"SDSS J1257+3419",74,"315,302","33,8 ","105","207,205","403,404",, , 
"MW  ","G  ","Leo V","dSph",172.78999999999996,2.2199999999999998,178, ,173.3, ,179,59,530,-7, ,16.0,"  ",2.6, ,27.1,"  ",96,"  ",0.5, ,-5.2, ,0.011,1.1,-2.0, ,"Leo V",21.25,915,0.027,0.12,0.12,0.2,10,10,0.8,0.8,0.6,0.6,32,32,2.3,1.4,,0.4,0.4,0.4,0.4,, , , ,"  ","  ",,3.7,"  ",N,-30,,,"Cluster? Binary w/Leo IV?","","","",0.15,3.1,13,, , , , ,58.5,261.9, ,"Isochrones",28.2,"",135,"316","34   ","110","226,227,205","412",, , 
