SubG,n_Name,Name,MType,RAJ2000,DEJ2000,D,u_D,HRV,f_HRV,D(MW),V(MW),D(LG),V(LG),S,Vmag,u_Vmag,R1,u_R1,muV,f_muV,PA,f_PA,Ell,f_Ell,VMag,f_VMag,Mass,Mdyn,[Fe/H],u_[Fe/H],SimbadName,(m-M),D(M31),E(B-V),E_(m-M),e_(m-M),e_[Fe/H],E_D,e_D,E_muV,e_muV,E_R1,e_R1,E_R2,e_R2,E_sigma*,e_sigma*,e_v_HI,E_Vmag,e_Vmag,E_VMag,e_VMag,e_vsini*,f_M_HI,f_sigma*,f_vsini*,l_sigma*,l_v_HI,M_HI,sigma*,u_(m-M),u_v_HI,V(M31),v_HI,vsini*,Com1,Com3,Com4,Com5,e_Ell,e_HRV,e_PA,e_sigHI,f_OName,f_Ref1,f_Ref2,f_Ref4,GLAT,GLON,l_sigHI,Meth,muEff,OName,R2,Ref1,Ref2,Ref3,Ref4,Ref5,sigHI,u_R2,u_sigHI
"M31 ","A  ","NGC 147","dE/dSph",8.300416666666665,48.50888888888888,676, ,-193.1, ,680,-4,292,85, ,9.5,"  ",3.17,:,21.2,": ",25,"  ",0.41, ,-14.6, ,62.0,93.0,-1.1, ,"NGC 147",24.15,142,0.172,0.09,0.09,0.1,28,28,,,,,,,1.0,1.0,,0.1,0.1,0.1,0.1,2.0, , , ,"  ","  ",,16.0,"  ",N,118,,17.0,"Binary w/NGC 185? Tidal stream","r_25_=6.6+/-0.3arcmins","","",0.02,0.8,3,, , , , ,-14.3,119.8, ,"MRS (CaT)",22.3,"UGC 326,DDO 3",623,"330","40,52","108","236,205","419",,:, 
"M31 ","A  ","Andromeda XXI","dSph",358.69874999999996,42.470833333333324,859, ,, ,862,,476,, ,14.8,"  ",3.5, ,27.0,"  ",110,"  ",0.2, ,-9.9, ,0.76,,-1.8, ,"Andromeda XXI",24.67,150,0.093,0.13,0.13,0.2,51,51,0.4,0.4,0.3,0.3,91,91,,,,0.6,0.6,0.6,0.6,, , , ,"  ","  ",,,"  ", ,,,,"","","","",0.07,,15,, , , , ,-19.2,111.9, ,"Isochrones",28.2,"",875,"331","53   ","119","","331",, , 
"M31 ","A,L","Andromeda XIV","dSph",12.895833333333332,29.69694444444444,735, ,-481.0, ,739,-326,361,-240, ,15.9,"  ",1.7, ,27.2,"  ",,"  ",0.31, ,-8.4, ,0.2,6.1,-2.26, ,"Andromeda XIV",24.33,162,0.06,0.33,0.33,0.05,112,112,0.6,0.6,0.8,0.8,180,180,1.3,1.3,,0.5,0.5,0.6,0.6,, , , ,"  ","  ",,5.4,"  ",N,-208,,,"Unbound to M31? In Pisces","","","",0.09,2.0,,, , , , ,-33.2,123.0, ,"Isochrones",27.5,"",363,"332","54,47","120","233,205","417",, , 
"M31 ","A  ","Andromeda XV","dSph",18.577916666666663,38.11749999999999,631, ,-339.0, ,636,-180,247,-95, ,14.6,"  ",1.21, ,24.8,"  ",0,": ",0.0,:,-9.4, ,0.49,16.0,-1.8, ,"Andromeda XV",24.0,174,0.047,0.2,0.2,0.2,58,58,0.4,0.4,0.05,0.05,22,22,7.0,5.0,,0.3,0.3,0.4,0.4,, , , ,"  ","  ",,11.0,"  ",N,-61,,,"","","","",,7.0,,, , , , ,-24.5,127.9, ,"Co-added MRS (CaT)",25.9,"",222,"333","55,56","121","237,205","420",, , 
"M31 ","A  ","Andromeda XIII","dSph",12.962499999999999,33.00444444444444,912, ,-195.0, ,916,-34,528,53, ,18.1,"  ",0.78, ,27.3,"  ",,"  ",, ,-6.7, ,0.041,11.0,-1.9, ,"Andromeda XIII",24.8,180,0.082,0.1,0.4,0.2,42,168,1.3,1.3,0.08,0.08,23,44,8.9,4.5,,1.2,1.2,1.3,1.3,, , , ,"  ","  ",,9.7,"  ",N,86,,,"In Pisces","","Stellar velocity dispersion based on three stars","",,8.4,,, , , , ,-29.9,123.0, ,"Co-added MRS (CaT)",28.4,"",207,"326","44   ","44,114","44,205","44",, , 
"M31 ","A  ","Andromeda II","dSph",19.124166666666664,33.41916666666666,652, ,-193.6, ,657,-44,276,40, ,11.7,"  ",6.2, ,24.5,"  ",34,"  ",0.2, ,-12.4, ,7.6,36.0,-1.64, ,"Andromeda II",24.07,184,0.061,0.06,0.06,0.04,18,18,0.2,0.2,0.2,0.2,50,50,0.8,0.8,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",,7.3,"  ",N,73,,,"In Pisces","","","",0.08,1.0,6,, , , , ,-29.2,128.9, ,"Isochrones",26.3,"",1176,"324","40,47","116","233,205","417",, , 
"M31 ","A  ","NGC 185","dE/dSph",9.741666666666665,48.33749999999999,617, ,-203.8, ,621,-17,234,72, ,9.2,"  ",2.55,:,20.8,": ",35,"  ",0.15, ,-14.8, ,68.0,150.0,-1.3, ,"NGC 185",23.95,187,0.184,0.09,0.09,0.1,26,26,,,,,,,1.0,1.0,,0.1,0.1,0.1,0.1,5.0, , , ,"  ","  ",0.11,24.0,"  ",i,105,,15.0,"Binary w/NGC 147?","r_25_=5.8+/-0.3arcmins","","",0.01,1.1,3,0.8, , , , ,-14.5,120.8, ,"MRS (CaT)",21.9,"UGC 396",458,"334","40,52","108","236,232","419",15.3,:, 
"M31 ","A  ","Andromeda XXIX","dSph",359.7316666666666,30.755555555555553,731, ,, ,734,,363,, ,16.0,"  ",1.7, ,27.6,"  ",51,"  ",0.35, ,-8.3, ,0.18,,-1.8,:,"Andromeda XXIX",24.32,188,0.046,0.22,0.22,,74,74,0.4,0.4,0.2,0.2,56,56,,,,0.3,0.3,0.4,0.4,, , , ,"  ","  ",,,"  ", ,,,,"In Pegasus","","","",0.06,,8,, , , , ,-30.8,109.8, ,"Isochrones",27.6,"",361,"335","57   ","122","","335",, , 
"M31 ","A  ","Andromeda XIX","dSph",4.883749999999999,35.043611111111105,933, ,, ,936,,548,, ,15.6,"  ",6.2, ,29.3,"  ",37,"  ",0.17, ,-9.2, ,0.43,,-1.9, ,"Andromeda XIX",24.85,189,0.062,0.13,0.13,0.1,56,56,0.7,0.7,0.1,0.1,105,105,,,,0.6,0.6,0.6,0.6,, , , ,"  ","  ",,,"  ", ,,,,"","","","",0.02,,8,, , , , ,-27.4,115.6, ,"Isochrones",30.2,"",1683,"329","51   ","118","","329",, , 
"M31 ","A  ","Triangulum","Sc",23.46208333333333,30.66027777777777,809, ,-179.2, ,814,-45,442,37, ,5.7,"  ",, ,,"  ",23,"  ",0.41, ,-18.8, ,2900.0,,, ,"M 33",24.54,206,0.041,0.06,0.06,,22,22,,,,,,,,,,0.1,0.1,0.1,0.1,, , , ,"  ","  ",,,"k ", ,69,,,"","","","",,1.7,,, ,a, , ,-31.3,133.6, ,"",,"M33,NGC 598,UGC 1117",,"","40,58","108","","",, , 
"M31 ","A  ","Andromeda XXIV","dSph",19.624999999999996,46.3661111111111,600, ,, ,605,,220,, ,16.3,"  ",2.1, ,27.8,"  ",5,"  ",0.25, ,-7.6, ,0.093,,-1.8, ,"Andromeda XXIV",23.89,208,0.083,0.12,0.12,0.2,33,33,0.5,0.5,0.1,0.1,27,27,,,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",,,"  ", ,,,,"","","","",0.05,,10,, , , , ,-16.3,127.8, ,"Isochrones",28.5,"",367,"325","48   ","117","","325",, , 
"M31 ","A  ","Andromeda VII","dSph",351.6320833333333,50.67583333333333,762, ,-309.4, ,765,-98,401,-8, ,11.8,"  ",3.5, ,23.2,"  ",94,"  ",0.13, ,-12.6, ,9.5,42.0,-1.4, ,"Andromeda VII",24.41,218,0.194,0.1,0.1,0.3,35,35,0.2,0.2,0.1,0.1,42,42,1.6,1.6,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",,9.7,"  ", ,24,,,"","","","",0.04,2.3,8,, , , , ,-10.0,109.5, ,"Isochrones",25.3,"Casseopia dSph",776,"336","40,47","116","233,205","417",, , 
"M31 ","A  ","Andromeda XXII","dSph",21.916666666666664,28.090277777777775,794,:,, ,799,,432,, ,18.0,"  ",0.94, ,26.7,"  ",114,"  ",0.56, ,-6.5, ,0.034,,-1.8,:,"Andromeda XXII",24.5,221,0.079,,,,,,0.6,0.6,0.1,0.1,99,99,,,,0.8,0.8,9.9,9.9,, , , ,"  ","  ",,,":l", ,,,,"M33 satellite? In Pisces","","","",0.11,,15,, , , , ,-34.1,132.6, ,"Isochrones",27.9,"",217,"331","53   ","119","","331",, , 
"M31 ","A  ","IC 10","dIrr",5.072083333333333,59.30388888888888,794, ,-348.0, ,798,-150,440,-64, ,9.5,"  ",2.65,:,24.6,"  ",,"  ",0.19, ,-15.0, ,86.0,,-1.28,:,"IC 10",24.5,252,1.568,0.12,0.12,,44,44,0.2,0.2,,,,,,,5.0,0.2,0.2,0.2,0.2,, , , ,"  ","  ",50.0,,"  ", ,-32,34.0,,"","r_25_=3.2+/-0.1arcmins","Gaseous disk embedded in complex, extended HI distribution, (with a dispersion of around 30-40km/s)","",0.02,1.0,,1.0, , , , ,-3.3,119.0, ,"Isochrones,RGB color",22.3,"UGC 192",612,"337","59,43","108,103","238,239","421",8.0,:, 
"M31 ","A  ","LGS 3 (Local Group Suspect 3)","dIrr/dSph",15.979166666666664,21.884999999999998,769, ,-286.5, ,773,-155,422,-74, ,14.3,"  ",2.1, ,24.8,"  ",0,": ",0.2,:,-10.1, ,0.96,17.0,-2.1, ,"LGS 3",24.43,269,0.04,0.07,0.07,0.22,25,25,0.1,0.1,0.2,0.2,47,47,5.3,2.9,,0.1,0.1,0.1,0.1,, , , ,"  ","<=",0.38,7.9,"  ", ,-43,5.0,,"","","Stellar velocity dispersion based on four stars","",,0.3,,0.3, , , , ,-40.9,126.8, ,"RGB color",26.6,"Pisces (I)",470,"338,339","40,60","124","240,241","422",9.1, , 
"M31 ","A  ","Andromeda VI","dSph",357.94291666666663,24.582499999999996,783, ,-354.0, ,785,-180,435,-93, ,13.2,"  ",2.3, ,24.1,"  ",163,"  ",0.41, ,-11.3, ,2.8,,-1.3, ,"Andromeda VI",24.47,269,0.063,0.07,0.07,0.14,25,25,0.2,0.2,0.2,0.2,49,49,3.2,2.4,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",,9.4,"  ",N,-62,,,"","","","",0.03,3.0,3,, , , , ,-36.3,106.0, ,"Co-added MRS (CaT)",25.3,"Pegasus dSph",524,"336,340","40,49","116","235,205","235",, , 
"M31 ","A,L","Andromeda XVI","dSph",14.874166666666664,32.376666666666665,525, ,-385.0, ,529,-229,153,-143, ,14.4,"  ",0.89, ,23.9,"  ",0,": ",0.0,:,-9.2, ,0.41,7.9,-2.1, ,"Andromeda XVI",23.6,279,0.067,0.2,0.2,0.2,48,48,0.4,0.4,0.05,0.05,15,15,,,,0.3,0.3,0.4,0.4,, , , ,"<=","  ",,10.0,"  ",N,-110,,,"In Pisces","","","",,5.0,,, , , , ,-30.5,124.9, ,"Co-added MRS (CaT)",25.0,"",136,"333","55,56","121","237,205","420",, , 
"Rest","A,L","Andromeda XXVIII","dSph?",338.1716666666666,31.216111111111108,661, ,, ,661,,364,, ,15.6,"  ",1.11, ,26.3,"  ",39,"  ",0.34, ,-8.5, ,0.21,,, ,"Andromeda XXVIII",24.1,368,0.096,0.5,0.2,,152,61,0.4,0.9,0.21,0.21,64,45,,,,0.4,0.9,0.4,1.0,, , , ,"  ","  ",,,"  ", ,,,,"In Pegasus","","","",0.13,,16,, , , , ,-22.9,91.0, ,"",26.3,"",213,"341","61   ","125","","",, , 
"Rest","L  ","IC 1613","dIrr",16.199166666666663,2.1177777777777775,755, ,-233.0, ,758,-154,517,-90, ,9.2,"  ",6.81,:,22.8,": ",50,"  ",0.11, ,-15.2, ,100.0,,-1.6, ,"IC 1613",24.39,520,0.025,0.12,0.12,0.2,42,42,,,,,,,,,1.0,0.1,0.1,0.2,0.2,, , , ,"  ","  ",65.0,,"  ", ,-64,5.9,,"","r_25_=8.1+/-0.2arcmins","","Derived in E. Skillman et al., (2012 in preparation)",0.03,1.0,2,3.0, , , , ,-60.6,129.7, ,"CMD modeling",24.1,"DDO 8,UGC 668",1496,"342","62,63","108","242,243","423",25.0,:, 
"Rest","L,G","Phoenix","dIrr/dSph",27.776249999999997,-44.44472222222222,415, ,-13.0,m,415,-103,556,-106, ,13.2,"  ",3.76,:,25.8,": ",5,"i ",0.4,j,-9.9, ,0.77,,-1.37, ,"Phoenix",23.09,868,0.016,0.1,0.1,0.2,19,19,,,,,,,,,,0.4,0.4,0.4,0.4,, , , ,"  ","  ",0.12,,"  ", ,-104,,,"","r_t_=15.8^+4.3^_-2.8_arcmins; assumed c=0.7","HI cloud offset from optical center of Phoenix, proposed as supernova-driven outflow; HI velocity gradient of ~10km/s observed over ~8arcmin","",0.1,9.0,1,4.0, , , , ,-68.9,272.2, ,"RGB color",26.4,"",454,"343","64,65","126,107","244","424",10.0,:, 
"Rest","L,G","NGC 6822","dIrr",296.2358333333333,-14.789166666666665,459, ,-57.0, ,452,43,595,64, ,8.1,"  ",2.65,:,19.7,": ",330,"  ",0.24, ,-15.2, ,100.0,,-1.0, ,"NGC 6822",23.31,897,0.231,0.08,0.08,0.5,17,17,,,,,,,,,2.0,0.2,0.2,0.2,0.2,, , , ,"  ","  ",130.0,,"  ", ,65,47.0,,"Polar ring morph.","r_25_=7.7+/-0.2arcmins","Demers et al. (2006ApJ...636L..85D) obtain velocities for >100 AGB stars.","",0.05,2.0,10,1.9, , ,n, ,-18.4,25.4, ,"LRS (CaT)",20.8,"IC 4895,DDO 209,Barnard's Galaxy",354,"344","66,67","108,108","245,246","425",5.8,:, 
"Rest","L  ","Cetus","dSph",6.5458333333333325,-11.044444444444443,755, ,-87.0, ,756,-27,603,26, ,13.2,"  ",3.2, ,25.0,"  ",63,"  ",0.33, ,-11.2, ,2.6,120.0,-1.9, ,"Cetus dSph",24.39,681,0.029,0.07,0.07,0.1,24,24,0.2,0.2,0.1,0.1,31,31,2.0,2.0,,0.2,0.2,0.2,0.2,1.2, ,j, ,"  ","  ",,17.0,"  ",N,46,,7.7,"Isolated dSph","","Tentative stellar velocity gradient across minor axis of 7.7+/-1.2km/s; unassociated with nearby HI cloud","",0.06,2.0,3,, , , , ,-72.9,101.5, ,"MRS (CaT)",26.2,"",703,"345","40,68","116","247,205","426",, , 
"Rest","L,A","Pegasus dIrr","dIrr/dSph",352.15124999999995,14.743055555555554,920, ,-183.3, ,921,-21,618,60, ,12.6,"  ",2.1,:,22.8,": ",120,"  ",0.46, ,-12.2, ,6.61,,-1.4, ,"UGC 12613",24.82,474,0.068,0.07,0.07,0.2,30,30,,,,,,,,,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",5.9,,"  ",:,89,21.0,,"","","","",0.02,5.0,2,, ,b,o, ,-43.6,94.8,<,"Isochrones",24.4,"UGC 12613,DDO 216",562,"346","40,69","108","248,249","415",9.0,:, 
"Rest","L,G","Leo T","dIrr/dSph",143.72249999999997,17.051388888888887,417, ,38.1, ,422,-58,651,-98, ,15.1,"k ",0.99, ,24.8,"  ",0,": ",0.0,:,-8.0, ,0.14,3.9,-1.99, ,"Leo T",23.1,991,0.031,0.1,0.1,0.05,19,19,0.6,0.6,0.06,0.06,9,9,1.6,1.6,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",0.28,7.5,"  ",N,-108,,,"","","","",,2.0,,1.0, , , , ,43.7,214.9, ,"MRS",26.0,"",120,"347","70,8 ","129","207,250","403,404",6.9, , 
"Rest","L  ","WLM (Wolf-Lundmark-Melotte)","dIrr",0.49249999999999994,-15.460833333333332,933, ,-130.0, ,932,-73,794,-24, ,10.6,"  ",7.78,:,23.7,": ",4,"  ",0.65, ,-14.2, ,43.0,380.0,-1.27, ,"UGCA 444",24.85,836,0.038,0.08,0.08,0.04,34,34,,,,,,,2.0,2.0,3.0,0.1,0.1,0.1,0.1,2.0, , , ,"  ","  ",61.0,17.5,"  ", ,-6,30.0,20.8,"Defines R_LG","","","",0.01,1.0,2,1.0, , , , ,-73.6,75.9, ,"MRS (CaT)",24.8,"UGCA 444,DDO 221",2111,"348,349","40,71","108","251,252","427",4.5,:, 
"Rest","L  ","Leo A","dIrr",149.86041666666665,30.746388888888884,798, ,22.3, ,803,-19,941,-41, ,12.4,"  ",2.15,:,22.8,": ",114,"  ",0.4, ,-12.1, ,6.0,25.0,-1.4, ,"Leo A",24.51,1200,0.021,0.12,0.12,0.2,44,44,,,,,,,1.3,1.3,,0.2,0.2,0.2,0.2,, , ,N,"  ","  ",11.0,9.3,"  ",N,-46,,,"Defines R_LG","r_25_=2.6+/-0.1arcmins","Stellar kinematics derived using 10 young B supergiants + HII regions; HI gradient of ~1.3km/s/arcmin","",0.03,2.9,5,1.4, , , , ,52.4,196.9, ,"CMD modeling",24.4,"Leo III,UGC 5364,DDO 69",499,"350","72,73","108,130","253,254","428",9.3,:, 
"Rest","L  ","Andromeda XVIII","dSph",0.5604166666666666,45.08888888888888,1355, ,, ,1358,,969,, ,16.0,"  ",0.92, ,25.6,": ",,"  ",, ,-9.7,:,0.63,,-1.8, ,"Andromeda XVIII",25.66,591,0.106,0.13,0.13,0.1,81,81,,,0.06,0.06,32,32,,,,9.9,9.9,,,, , , ,"  ","  ",,,"  ", ,,,,"Isolated dSph","Lower limits on V and {mu}_V_","","",,,,, , , , ,-16.9,113.9, ,"Isochrones",26.7,"",363,"329","51   ","118","","329",, , 
"Rest","L  ","Aquarius","dIrr/dSph",311.7158333333333,-12.848055555555554,1072, ,-140.7, ,1066,-27,1053,9, ,14.5,"  ",1.47, ,23.6,"  ",99,"  ",0.5, ,-10.6, ,1.6,,-1.3, ,"DDO 210",25.15,1173,0.051,0.08,0.08,0.2,39,39,0.2,0.2,0.04,0.04,21,21,,,,0.1,0.1,0.1,0.1,, , , ,"  ","  ",4.1,,"  ",N,17,,,"Defines R_LG","","HI velocity gradient of 6km/s/arcmin.","Assumes an age of 4Gyr; for an ancient population, find [Fe/H]~-1.9",0.1,2.5,1,0.1, , ,o, ,-31.3,34.0, ,"Isochrones",25.5,"DDO 210",458,"351","40,69","131","248","429",5.8, , 
"Rest","L  ","Tucana","dSph",340.4566666666666,-64.41944444444444,887, ,194.0,p,882,99,1076,73, ,15.2,"  ",1.1, ,25.0,"  ",97,"  ",0.48, ,-9.5, ,0.56,41.0,-1.95, ,"TUC DWARF GALAXY",24.74,1355,0.031,0.12,0.12,0.15,49,49,0.1,0.1,0.2,0.2,54,54,4.1,3.1,,0.2,0.2,0.2,0.2,, , ,N,"  ","  ",,15.8,"  ",N,62,,,"Isolated dSph; defines R_LG","","Stellar velocity gradient of ~16km/s over ~2xr_h_; unlikely associated with nearby HI cloud","",0.03,4.3,2,, , , , ,-47.4,322.9, ,"MRS (CaT)",25.6,"",284,"352","74,75","132","255,205","430",, , 
"Rest","L  ","Sagittarius dIrr","dIrr",292.4958333333333,-17.678055555555552,1067, ,-78.5, ,1059,8,1156,22, ,13.6,"  ",0.91, ,23.9,"  ",90,": ",0.5,:,-11.5, ,3.5,,-2.1, ,"SAG DIG",25.14,1356,0.124,0.18,0.18,0.2,88,88,0.2,0.2,0.05,0.05,28,28,,,,0.2,0.2,0.3,0.3,, , , ,"  ","  ",8.8,,"  ",N,20,,,"Defines R_LG","r_h_ from integral under central King profile","","",,1.0,,1.0, , ,q, ,-16.3,21.1, ,"Isochrones",23.5,"UKS 1927-177",282,"353,354","76,60","133","241","431",10.0, , 
"Rest","L  ","UGC 4879","dIrr/dSph",139.00916666666666,52.83999999999999,1361, ,-70.0,r,1367,-27,1321,-12, ,13.2,"  ",0.41, ,21.2,"  ",84,"  ",0.44, ,-12.5, ,8.3,,-1.5, ,"UGC 4879",25.67,1395,0.016,0.04,0.04,0.2,25,25,0.2,0.2,0.04,0.04,16,16,,,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",0.95,,"  ",N,-4,,,"Defines R_LG","","","",0.04,15.0,11,1.1, , , , ,42.9,164.7, ,"Isochrones",21.5,"VV 124",162,"355","77,78","134","256","432",11.0, , 
"Rest","N  ","NGC 3109","dIrr",150.77874999999997,-26.159722222222218,1300, ,403.0, ,1301,193,1633,110, ,10.7,"  ",4.3, ,22.6,"  ",92,"  ",0.82, ,-14.9, ,76.0,,-1.84, ,"NGC 3109",25.57,1987,0.067,0.08,0.08,0.2,48,48,0.1,0.1,0.1,0.1,71,71,,,0.5,0.1,0.1,0.1,0.1,, , , ,"  ","  ",450.0,,"  ", ,83,72.4,,"Loose NGC 3109 subgroup. Interacting with Antlia?","","","",0.01,2.0,1,, , , , ,23.1,262.1, ,"RGB color",22.9,"DDO 236,UGCA 194",1626,"356","79,67","135","257,258,259","433",10.0, ,:
"Rest","N  ","Sextans B","dIrr",150.00041666666664,5.332222222222222,1426, ,304.0, ,1430,171,1659,114, ,11.3,"  ",1.06, ,21.9,"  ",110,"  ",0.31, ,-14.5, ,52.0,,, ,"Sextans B",25.77,1943,0.031,0.03,0.03,,20,20,0.3,0.3,0.1,0.1,42,42,,,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",51.0,,"  ",:,97,71.0,,"Loose NGC 3109 subgroup","","","",0.03,1.0,2,, ,e, , ,43.8,233.2,<,"",21.9,"UGC 5373,DDO 70",440,"346","59,63","108,136","260,249","",18.0, , 
"Rest","N  ","Antlia","dIrr",151.01708333333332,-27.331111111111106,1349, ,362.0, ,1350,151,1684,66, ,15.2,"  ",1.2, ,23.9,"  ",135,"  ",0.4, ,-10.4, ,1.3,,-1.6, ,"ANTLIA DWARF GALAXY",25.65,2039,0.079,0.1,0.1,0.1,62,62,0.2,0.2,0.12,0.12,52,52,,,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",0.73,,"  ",N,39,,,"Loose NGC 3109 subgroup. Interacting with NGC 3109?","","","",0.04,2.0,5,0.7, , , , ,22.3,263.1, ,"RGB color",25.9,"",471,"357","59,80","137,136","258","434",6.4, , 
"Rest","N  ","Sextans A","dIrr",152.7533333333333,-4.692777777777777,1432, ,324.0, ,1435,163,1711,94, ,11.5,"  ",2.47,:,22.8,": ",0,"  ",0.17, ,-14.3, ,44.0,,-1.85,:,"Sextans A",25.78,2027,0.045,0.08,0.08,,53,53,,,,,,,,,2.0,0.1,0.1,0.1,0.1,, , , ,"  ","  ",77.0,,"  ", ,73,20.0,,"Loose NGC 3109 sub-group","r_25_=2.9+/-0.1arcmins","","Adopted (V-I)_-3.5_=1.3",0.02,2.0,1,1.0, , , , ,39.9,246.1, ,"RGB color",24.1,"UGCA 205,DDO 75",1029,"350","59,67","108,138","261","435",8.0,:, 
"Rest","N  ","HIZSS 3(A)","(d)Irr?",105.12208333333332,-4.208333333333333,1675, ,288.0, ,1682,139,1760,109, ,,"  ",, ,,"  ",,"  ",, ,, ,,,, ,"HIZSS 3",26.12,1923,1.013,0.14,0.14,,108,108,,,,,,,,,4.0,,,,,, , , ,"  ","  ",14.0,,"  ", ,105,42.0,,"Zone of obscuration. Binary with B?","","","",,2.5,,, , ,s, ,0.1,217.7, ,"",,"",,"358","81,82","","262","",, , 
"Rest","N  ","HIZSS 3B","(d)Irr?",105.12208333333332,-4.208333333333333,1675, ,322.6, ,1682,174,1760,143, ,,"  ",, ,,"  ",,"  ",, ,, ,,,, ,"HIZSS 3",26.12,1923,1.013,0.14,0.14,,108,108,,,,,,,,,,,,,,, , , ,"  ","  ",2.6,,"  ",N,140,,,"Zone of obscuration. Binary with A?","","HI velocity gradient of ~2.5km/s/arcmin","",,1.4,,, , ,s, ,0.1,217.7, ,"",,"",,"358","81,82","","262","",, , 
"Rest","N  ","KKR 25","dIrr/dSph",243.44999999999996,54.371111111111105,1905, ,-139.5, ,1904,31,1838,67, ,15.9,"  ",0.4,:,24.0,"  ",,"  ",0.41, ,-10.5, ,1.4,,-2.1, ,"LEDA 2801026",26.4,1853,0.009,0.07,0.07,0.3,61,61,0.2,0.2,,,,,,,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",,,"  ", ,77,,,"","r_26.5_=0.55arcmins","See Huchtmeier et al. (2000, Cat. J/A+AS/147/187) for attempted HI observations","",0.02,1.0,,, , , , ,44.4,83.9, ,"RGB color",24.2,"",222,"359","59,83","139","","359",,:, 
"Rest","N  ","ESO 410- G 005","dIrr/dSph",3.881666666666666,-32.17999999999999,1923, ,, ,1922,,1852,, ,14.9,"  ",0.5, ,22.2,"  ",57,": ",0.37,:,-11.5, ,3.5,,-1.93, ,"ESO 410- G 005",26.42,1862,0.014,0.04,0.04,0.2,35,35,0.2,0.2,0.05,0.05,,,,,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",0.73,,"  ", ,,,,"NGC 55 sub-group, forming 'bridge' to Sculptor?","","","",,,,0.6, , , , ,-80.7,357.8, ,"RGB color",23.8,"UKS 0013-324",280,"360,361","59   ","140,136","263","436",14.2,:, 
"Rest","N  ","NGC 55","Irr",3.7233333333333327,-39.19666666666666,1932, ,129.0, ,1930,98,1909,111, ,7.9,"  ",5.16,:,19.3,": ",108,"  ",0.83, ,-18.5, ,2200.0,,, ,"NGC 55",26.43,1964,0.013,0.12,0.12,,107,107,,,,,,,,,6.0,0.1,0.1,0.2,0.2,, , , ,"  ","  ",1300.0,,"  ", ,117,86.0,,"NGC 55 sub-group, forming 'bridge' to Sculptor?","r_25_=16.2+/-0.4arcmins","Castro et al. (2008, Cat. J/A+A/485/41) obtain stellar velocities for ~200 massive blue stars and find that their kinematics closely trace the HI rotation curve","",0.01,2.0,2,, , , , ,-75.7,332.9, ,"",20.4,"",2900,"362","84,67","108","264","",,:, 
"Rest","N  ","ESO 294- G 010","dIrr/dSph",6.639166666666665,-41.85527777777777,2032, ,117.0, ,2030,72,2023,81, ,15.3,"  ",0.42, ,22.3,"  ",8,": ",0.51,:,-11.2, ,2.7,,-1.48, ,"ESO 294- G 010",26.54,2090,0.006,0.04,0.04,0.17,37,37,0.2,0.2,0.04,0.04,24,24,,,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",0.34,,"  ", ,85,,,"NGC 55 sub-group, forming 'bridge' to Sculptor?","","","",,5.0,,0.9, , , , ,-74.4,320.4, ,"RGB color",23.5,"",248,"360","59,85","140,136","263","436",9.7, , 
"Rest","N  ","NGC 300","Sc",13.722916666666665,-37.68444444444444,2080, ,146.0, ,2079,103,2042,116, ,8.1,"  ",5.0,:,21.0,": ",111,"  ",0.29, ,-18.5, ,2100.0,,, ,"NGC 300",26.59,2078,0.013,0.06,0.06,,57,57,,,,,,,,,3.1,0.1,0.1,0.1,0.1,, , , ,"  ","  ",1800.0,,"  ", ,122,98.8,,"NGC 55 sub-group, forming 'bridge' to Sculptor?","r_25_=10.1+/-0.3arcmins","HI velocity dispersion shows significant spatial variation","",0.01,2.0,2,5.0, , , , ,-79.4,299.2, ,"",22.1,"",3025,"362","59,67","108","265,266","",13.0,:, 
"Rest","N  ","IC 5152","dIrr",330.6729166666666,-51.296388888888885,1950, ,122.0, ,1945,81,2047,73, ,10.9,":l",0.97,:,20.1,": ",100,"  ",0.38, ,-15.6,:,270.0,,, ,"IC 5152",26.45,2211,0.025,0.05,0.05,,45,45,,,,,,,,,,,,,,, , , ,"  ","  ",87.0,,"  ", ,68,,,"","r_25_=2.6+/-0.1arcmins","HI line widths available in Koribalski et al. (2004, Cat. J/AJ/128/16)","",0.02,2.0,2,, , , , ,-50.2,343.9, ,"",21.2,"",550,"363","59,67","108","245","",,:, 
